t(ticks)	;	nlug	;	id_viat	;	observ
1474	;	49	;	6	;	estacionamento
1494	;	50	;	6	;	saida
1529	;	49	;	7	;	estacionamento
1549	;	50	;	7	;	saida
1570	;	49	;	8	;	estacionamento
1595	;	50	;	8	;	saida
1616	;	49	;	9	;	estacionamento
1671	;	50	;	9	;	saida
1691	;	49	;	10	;	estacionamento
1731	;	50	;	10	;	saida
1759	;	49	;	11	;	estacionamento
1794	;	50	;	11	;	saida
1818	;	49	;	12	;	estacionamento
1839	;	50	;	12	;	saida
1864	;	49	;	13	;	estacionamento
1873	;	50	;	13	;	saida
1896	;	49	;	14	;	estacionamento
1944	;	50	;	14	;	saida
1970	;	49	;	15	;	estacionamento
1980	;	50	;	15	;	saida
2004	;	49	;	16	;	estacionamento
2014	;	50	;	16	;	saida
2038	;	49	;	17	;	estacionamento
2092	;	50	;	17	;	saida
2115	;	49	;	5	;	estacionamento
2154	;	50	;	5	;	saida
2177	;	49	;	18	;	estacionamento
2231	;	50	;	18	;	saida
2255	;	49	;	19	;	estacionamento
2284	;	50	;	19	;	saida
2307	;	49	;	20	;	estacionamento
2337	;	50	;	20	;	saida
2360	;	49	;	21	;	estacionamento
2369	;	50	;	21	;	saida
2394	;	49	;	22	;	estacionamento
2413	;	50	;	22	;	saida
2436	;	49	;	23	;	estacionamento
2456	;	50	;	23	;	saida
2479	;	49	;	24	;	estacionamento
2508	;	50	;	24	;	saida
2531	;	49	;	25	;	estacionamento
2540	;	50	;	25	;	saida
2563	;	49	;	26	;	estacionamento
2617	;	50	;	26	;	saida
2640	;	49	;	27	;	estacionamento
2694	;	50	;	27	;	saida
2717	;	49	;	28	;	estacionamento
2726	;	50	;	28	;	saida
2749	;	49	;	29	;	estacionamento
2778	;	50	;	29	;	saida
2800	;	49	;	30	;	estacionamento
2850	;	50	;	30	;	saida
2873	;	49	;	31	;	estacionamento
2883	;	50	;	31	;	saida
2907	;	49	;	32	;	estacionamento
2936	;	50	;	32	;	saida
2972	;	49	;	33	;	estacionamento
3021	;	50	;	33	;	saida
3045	;	49	;	34	;	estacionamento
3079	;	50	;	34	;	saida
3103	;	49	;	4	;	estacionamento
3147	;	50	;	4	;	saida
3172	;	49	;	35	;	estacionamento
3195	;	50	;	35	;	saida
3218	;	49	;	36	;	estacionamento
3253	;	50	;	36	;	saida
3281	;	49	;	37	;	estacionamento
3320	;	50	;	37	;	saida
3345	;	49	;	38	;	estacionamento
3389	;	50	;	38	;	saida
3412	;	49	;	39	;	estacionamento
3451	;	50	;	39	;	saida
3474	;	49	;	40	;	estacionamento
3514	;	50	;	40	;	saida
3538	;	49	;	41	;	estacionamento
3552	;	50	;	41	;	saida
3575	;	49	;	42	;	estacionamento
3589	;	50	;	42	;	saida
3612	;	49	;	43	;	estacionamento
3621	;	50	;	43	;	saida
3644	;	49	;	44	;	estacionamento
3688	;	50	;	44	;	saida
3711	;	49	;	45	;	estacionamento
3744	;	50	;	45	;	saida
4426	;	49	;	46	;	estacionamento
4444	;	50	;	46	;	saida
4477	;	49	;	47	;	estacionamento
4498	;	50	;	47	;	saida
4526	;	49	;	48	;	estacionamento
4581	;	50	;	48	;	saida
4609	;	49	;	49	;	estacionamento
4634	;	50	;	49	;	saida
4657	;	49	;	50	;	estacionamento
4678	;	50	;	50	;	saida
4705	;	49	;	51	;	estacionamento
4726	;	50	;	51	;	saida
4747	;	49	;	52	;	estacionamento
4783	;	50	;	52	;	saida
4809	;	49	;	3	;	estacionamento
4865	;	50	;	3	;	saida
4887	;	49	;	53	;	estacionamento
4934	;	50	;	53	;	saida
4960	;	49	;	54	;	estacionamento
4972	;	50	;	54	;	saida
4993	;	49	;	55	;	estacionamento
5015	;	50	;	55	;	saida
5050	;	49	;	56	;	estacionamento
5106	;	50	;	56	;	saida
5133	;	49	;	57	;	estacionamento
5168	;	50	;	57	;	saida
5195	;	49	;	58	;	estacionamento
5251	;	50	;	58	;	saida
5277	;	49	;	59	;	estacionamento
5302	;	50	;	59	;	saida
5333	;	49	;	60	;	estacionamento
5355	;	50	;	60	;	saida
5382	;	49	;	61	;	estacionamento
5408	;	50	;	61	;	saida
5441	;	49	;	63	;	estacionamento
5482	;	50	;	63	;	saida
5502	;	49	;	64	;	estacionamento
5512	;	50	;	64	;	saida
5533	;	49	;	65	;	estacionamento
5559	;	50	;	65	;	saida
5587	;	49	;	62	;	estacionamento
5643	;	50	;	62	;	saida
5672	;	49	;	66	;	estacionamento
5727	;	50	;	66	;	saida
5759	;	49	;	67	;	estacionamento
5815	;	50	;	67	;	saida
5843	;	49	;	68	;	estacionamento
5893	;	50	;	68	;	saida
5915	;	49	;	69	;	estacionamento
5936	;	50	;	69	;	saida
5963	;	49	;	70	;	estacionamento
6019	;	50	;	70	;	saida
6056	;	49	;	71	;	estacionamento
6112	;	50	;	71	;	saida
6139	;	49	;	72	;	estacionamento
6194	;	50	;	72	;	saida
6227	;	49	;	73	;	estacionamento
6271	;	50	;	73	;	saida
6302	;	49	;	74	;	estacionamento
6358	;	50	;	74	;	saida
6379	;	49	;	75	;	estacionamento
6409	;	50	;	75	;	saida
6450	;	49	;	76	;	estacionamento
6481	;	50	;	76	;	saida
6503	;	49	;	77	;	estacionamento
6550	;	50	;	77	;	saida
6575	;	49	;	78	;	estacionamento
6620	;	50	;	78	;	saida
6656	;	49	;	79	;	estacionamento
6686	;	50	;	79	;	saida
6731	;	49	;	80	;	estacionamento
6747	;	50	;	80	;	saida
6774	;	49	;	81	;	estacionamento
6830	;	50	;	81	;	saida
6851	;	49	;	82	;	estacionamento
6872	;	50	;	82	;	saida
6898	;	49	;	83	;	estacionamento
6953	;	50	;	83	;	saida
6974	;	49	;	2	;	estacionamento
7000	;	50	;	2	;	saida
7032	;	49	;	84	;	estacionamento
7057	;	50	;	84	;	saida
7084	;	49	;	85	;	estacionamento
7134	;	50	;	85	;	saida
7155	;	49	;	86	;	estacionamento
7206	;	50	;	86	;	saida
7234	;	49	;	87	;	estacionamento
7254	;	50	;	87	;	saida
